user	dep
D4Audit.NoSignEvolution.casesOn	D4Audit.NoSignEvolution
D4Audit.NoSignEvolution.casesOn	D4Audit.NoSignEvolution.mk
D4Audit.NoSignEvolution.casesOn	D4Audit.NoSignEvolution.rec
D4Audit.NoSignEvolution.continuous	D4Audit.NoSignEvolution
D4Audit.NoSignEvolution.hasDeriv	D4Audit.NoSignEvolution
D4Audit.NoSignEvolution.mk	D4Audit.NoSignEvolution
D4Audit.NoSignEvolution.mk._flat_ctor	D4Audit.NoSignEvolution
D4Audit.NoSignEvolution.mk._flat_ctor	D4Audit.NoSignEvolution.mk
D4Audit.NoSignEvolution.rec	D4Audit.NoSignEvolution
D4Audit.NoSignEvolution.rec	D4Audit.NoSignEvolution.mk
D4Audit.NoSignEvolution.recOn	D4Audit.NoSignEvolution
D4Audit.NoSignEvolution.recOn	D4Audit.NoSignEvolution.mk
D4Audit.NoSignEvolution.recOn	D4Audit.NoSignEvolution.rec
D4Audit.antitone_discrete_fails_at_c_half	D4Audit.counterexample_discrete_c_half
D4Audit.antitone_discrete_fails_at_c_half	Poincare.Longrun.CurvatureODE.eulerStep
D4Audit.antitone_discrete_fails_at_c_half	Poincare.Longrun.Evolution.perelmanF
D4Audit.antitone_discrete_fails_at_c_half	Poincare.Longrun.Evolution.squareField
D4Audit.antitone_discrete_fails_at_negative_step	D4Audit.counterexample_negative_step
D4Audit.antitone_discrete_fails_at_negative_step	Poincare.Longrun.CurvatureODE.eulerStep
D4Audit.antitone_discrete_fails_at_negative_step	Poincare.Longrun.Evolution.perelmanF
D4Audit.antitone_discrete_fails_at_negative_step	Poincare.Longrun.Evolution.squareField
D4Audit.antitone_fails_at_c_half	D4Audit.counterexample_continuous_c_half
D4Audit.antitone_fails_at_c_half	Poincare.Longrun.Evolution.perelmanF
D4Audit.antitone_fails_at_c_half	Poincare.Longrun.Evolution.squareTraj
D4Audit.audit_certificate_compare	Poincare.Longrun.CurvatureODE.EvolutionRelation
D4Audit.audit_certificate_compare	Poincare.Longrun.CurvatureODE.ReactionField
D4Audit.audit_certificate_compare	Poincare.Longrun.Evolution.perelmanF
D4Audit.audit_certificate_compare	Poincare.Longrun.Evolution.perelmanF_certificate_compare
D4Audit.audit_continuous_certificate	Poincare.Longrun.CurvatureODE.ReactionField
D4Audit.audit_continuous_certificate	Poincare.Longrun.Entropy.EntropyData.F
D4Audit.audit_continuous_certificate	Poincare.Longrun.Evolution.GlobalReactionFlow
D4Audit.audit_continuous_certificate	Poincare.Longrun.Evolution.continuousPerelmanCertificate_le_initial
D4Audit.audit_continuous_certificate	Poincare.Longrun.Evolution.finiteReactionEntropyData
D4Audit.audit_finiteReactionEntropyData_F	Poincare.Longrun.Entropy.EntropyData.F
D4Audit.audit_finiteReactionEntropyData_F	Poincare.Longrun.Evolution.finiteReactionEntropyData
D4Audit.audit_finiteReactionEntropyData_F	Poincare.Longrun.Evolution.finiteReactionEntropyData_F
D4Audit.audit_finiteReactionEntropyData_F	Poincare.Longrun.Evolution.perelmanF
D4Audit.audit_hasDerivWithinAt_perelmanF	Poincare.Longrun.CurvatureODE.EvolutionRelation
D4Audit.audit_hasDerivWithinAt_perelmanF	Poincare.Longrun.CurvatureODE.ReactionField
D4Audit.audit_hasDerivWithinAt_perelmanF	Poincare.Longrun.CurvatureODE.ReactionField.eval
