name	role	kind	v1_typelevel	v2_prooflevel	#check_sites	found
Poincare.Longrun.Evolution.perelmanF_step_lt	A1	theorem	0	1	3	True
Poincare.Longrun.Evolution.gibbsTerm_strictAnti	A1	theorem	0	25	3	True
Poincare.Longrun.Evolution.gibbsTerm_step_lt	A1	theorem	0	3	3	True
D4Audit.perelmanF_step_lt_of_one_le	A1-sharp	theorem	0	1	2	True
Poincare.D7.EvolutionSharp.perelmanF_step_lt_of_one_le	A1-sharp	theorem	0	6	0	True
D4Audit.gibbsTerm_strictAnti_of_one_le	A1-sharp	theorem	0	3	2	True
Poincare.D7.EvolutionSharp.gibbsTerm_strictAnti_of_one_le	A1-sharp	theorem	0	15	0	True
Poincare.D7.HeatKernel.HeatKernelData	main-chain	inductive	70	70	0	True
Poincare.D12.SemanticLedger.not_initialCondition_gaussian	main-chain	theorem	0	2	0	True
Poincare.D10.HeatKernelEuclidean.heat_equation	main-chain	theorem	0	1	0	True
Poincare.D7.Recognition.stage6Target_of_certificates	main-chain	theorem	0	4	0	True
d12NegControlBadAxiom	neg-control	axiom	0	1	0	True
d12NegControlBadTheorem	neg-control	theorem	0	0	0	True
Poincare.D12.VolumeIBP.Audit.negativeControl	neg-control	axiom	0	0	0	True
