MorganTianLib/Ch01/BishopGromovManifoldProducers.lean:67:0:'MorganTianLib.bishop_gromov_manifold_producers_of_available' depends on axioms: [propext, Classical.choice, Quot.sound]
MorganTianLib/Ch01/BishopGromovNormalized.lean:281:0:'MorganTianLib.antitoneOn_normalized_riemannianMeasure_ratio' depends on axioms: [propext, Classical.choice, Quot.sound]
MorganTianLib/Ch01/BishopGromovNormalized.lean:282:0:'MorganTianLib.tendsto_normalized_riemannianMeasure_ball_ratio_nhdsGT_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
MorganTianLib/Ch01/BishopGromovNormalized.lean:283:0:'MorganTianLib.antitoneOn_normalized_riemannianMeasure_div_power' depends on axioms: [propext, Classical.choice, Quot.sound]
MorganTianLib/Ch01/BishopGromovNormalized.lean:284:0:'MorganTianLib.normalized_riemannianMeasure_ball_le_flat_model' depends on axioms: [propext, Classical.choice, Quot.sound]
MorganTianLib/Ch01/BishopGromovNormalized.lean:285:0:'MorganTianLib.riemannianMeasure_normalizedGpHaar_apply' depends on axioms: [propext, Classical.choice, Quot.sound]
MorganTianLib/Ch01/BishopGromovNormalized.lean:286:0:'MorganTianLib.normalizedGpHaar_isAddHaarMeasure' depends on axioms: [propext, Classical.choice, Quot.sound]
MorganTianLib/Ch01/BrokenVariationData.lean:743:0:'MorganTianLib.glueCoeff_eq_half_on_piece' depends on axioms: [propext, Classical.choice, Quot.sound]
MorganTianLib/Ch01/BrokenVariationData.lean:744:0:'MorganTianLib.contDiffOn_chartVectorRep_frameFieldOf' depends on axioms: [propext, Classical.choice, Quot.sound]
MorganTianLib/Ch01/BrokenVariationData.lean:745:0:'MorganTianLib.exists_brokenVariationData' depends on axioms: [propext, Classical.choice, Quot.sound]
MorganTianLib/Ch01/BrokenVariationData.lean:746:0:'MorganTianLib.frameVec_frameFieldOf' depends on axioms: [propext, Classical.choice, Quot.sound]
MorganTianLib/Ch01/BrokenVariationData.lean:747:0:'MorganTianLib.isMetricCompatibleAt_chartMetricBilin_target' depends on axioms: [propext, Classical.choice, Quot.sound]
MorganTianLib/Ch01/BrokenVariationData.lean:748:0:'MorganTianLib.hasDerivAt_deriv_pieceEnergy_indexIntegrand' depends on axioms: [propext, Classical.choice, Quot.sound]
MorganTianLib/Ch01/BrokenVariationData.lean:749:0:'MorganTianLib.hasDerivAt_pieceEnergy_chartMetricBilin' depends on axioms: [propext, Classical.choice, Quot.sound]
