case                                       c2            spacing   spacing-bound min_k_hyp max_k_open  sp2-bound
const_above_1.001          3.1400230343793765 3.1400230343793765 -1.570e-03    1.0010     1.0010 -1.570e-03
const_equal_1.0             3.141592653589815  3.141592653589815 +2.176e-14    1.0000     1.0000 +2.354e-14
const_below_0.999          3.1431646289964625 3.1431646289964625 +1.572e-03    0.9990     0.9990 +1.572e-03
const_below_0.5               4.4428829381584    4.4428829381584 +1.301e+00    0.5000     0.5000 +1.301e+00
bump_center                 2.899270612072966  2.899270612072966 -2.423e-01    1.0000     1.5000 -7.905e-14
periodic_above               2.90101217785917   2.90101217785917 -2.406e-01    1.0000     1.3000 -2.867e-01
late_gauss_0.05            3.1415449009846648 3.1415449009846648 -4.775e-05    1.0000     1.5000 -8.653e-11
power20_half               3.1388932715414497 3.1388932715414497 -2.699e-03    1.0000     1.4999 -2.260e+00
tiny_power20_1e-6          3.1415926481172898 3.1415926481172898 -5.473e-09    1.0000     1.0000 -3.512e-02
square_bump_last_0.05       3.141571846263046  3.141571846263046 -2.081e-05    1.0000     1.5000 +2.043e-14
excess_only_after_pi       3.1415926535898153 3.1415926535898153 +2.220e-14    1.0000     1.0000 -5.765e-01
excess_only_at_pi           3.141592653589815  3.141592653589815 +2.176e-14    1.0000     1.0000 +2.354e-14
below_sin2                  3.274407226547816  3.274407226547816 +1.328e-01    0.7000     1.0000 +1.418e-01
below_gauss_dip              3.25770171313368   3.25770171313368 +1.161e-01    0.5000     1.0000 +2.842e-14
below_late_dip              3.409085630587402  3.409085630587402 +2.675e-01    0.5000     1.0000 +1.301e+00
below_ramp                 3.3761730793095786 3.3761730793095786 +2.346e-01    0.7487     1.0000 +8.755e-01
shifted_const_above        3.3237563478555123 2.0897563478555123 -4.639e-03    2.2600     2.2600 -4.639e-03
shifted_bump               3.2835898177819054 2.0495898177819054 -4.481e-02    2.2500     2.5500 +1.465e-14
shifted_const_below        3.3330648854534024 2.0990648854534024 +4.670e-03    2.2400     2.2400 +4.670e-03
{'name': 'SEARCH_above_worst', 'value': (-0.1947386298648892, 'rand_above_8', 2.946854023724904, 1.0168874159604617)}
{'name': 'SEARCH_below_worst', 'value': (0.36347188873030944, 'rand_below_50', 3.5050645423201026, 0.9830254255336273, 0.9830254255336273)}
