'Poincare.L4.Compactness.torusRicciBallGrowth' depends on axioms: [propext, Classical.choice, Quot.sound]
'ReviewRicciGrowth.rev_A_nonneg' depends on axioms: [propext, Classical.choice, Quot.sound]
'ReviewRicciGrowth.rev_radialVolume_nonneg' depends on axioms: [propext, Classical.choice, Quot.sound]
'ReviewRicciGrowth.rev_radialVolume_mono' depends on axioms: [propext, Classical.choice, Quot.sound]
'ReviewRicciGrowth.rev_radialVolume_halving' depends on axioms: [propext, Classical.choice, Quot.sound]
'ReviewRicciGrowth.rev_toUniformMeasureGrowth' depends on axioms: [propext, Classical.choice, Quot.sound]
'ReviewRicciGrowth.rev_totallyBounded' depends on axioms: [propext, Classical.choice, Quot.sound]
'ReviewRicciGrowth.no_uniformRicciBallGrowth_punit' depends on axioms: [propext, Classical.choice, Quot.sound]
'ReviewRicciGrowth.profA_intervalIntegrable' depends on axioms: [propext, Classical.choice, Quot.sound]
'ReviewRicciGrowth.reviewEmptyWitness' depends on axioms: [propext, Classical.choice, Quot.sound]
'ReviewRicciGrowth.reviewEmptyWitness_inhabited' depends on axioms: [propext, Classical.choice, Quot.sound]
