'Poincare.Longrun.Entropy.EntropyData' depends on axioms: [propext, Classical.choice, Quot.sound]
'Poincare.Longrun.Entropy.EntropyData.F' depends on axioms: [propext, Classical.choice, Quot.sound]
'Poincare.Longrun.Entropy.EntropyData.extra' depends on axioms: [propext, Classical.choice, Quot.sound]
'Poincare.Longrun.Entropy.EntropyData.W' depends on axioms: [propext, Classical.choice, Quot.sound]
'Poincare.Longrun.Entropy.EntropyData.FDissipation' depends on axioms: [propext, Classical.choice, Quot.sound]
'Poincare.Longrun.Entropy.EntropyData.HasConjugateWeight' depends on axioms: [propext, Classical.choice, Quot.sound]
'Poincare.Longrun.Entropy.EntropyData.conjugateWeight_pos' depends on axioms: [propext, Classical.choice, Quot.sound]
'Poincare.Longrun.Entropy.EntropyData.integrable_extra' depends on axioms: [propext, Classical.choice, Quot.sound]
'Poincare.Longrun.Entropy.EntropyData.W_eq' depends on axioms: [propext, Classical.choice, Quot.sound]
'Poincare.Longrun.Entropy.EntropyData.FDissipation_nonneg' depends on axioms: [propext, Classical.choice, Quot.sound]
'Poincare.Longrun.Entropy.EntropyData.F_mono_integrand' depends on axioms: [propext, Classical.choice, Quot.sound]
