=== exit 0 ===
--- stdout ---
'Perelman.MetricFlowData.Icc_subset' depends on axioms: [propext, Classical.choice, Quot.sound]
'Perelman.MetricFlowData.Icc_zero_subset' depends on axioms: [propext, Classical.choice, Quot.sound]
'Perelman.hasMetricTimeDerivative_const' depends on axioms: [propext, Classical.choice, Quot.sound]
'Perelman.satisfies_ricciFlow_const_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'Perelman.toyF_mono' depends on axioms: [propext, Classical.choice, Quot.sound]
'Perelman.toyW_nonneg' depends on axioms: [propext, Classical.choice, Quot.sound]
'Perelman.perelmanMu_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'Perelman.FMonotonicity.apply' depends on axioms: [propext, Classical.choice, Quot.sound]
'Perelman.WMonotonicity.apply' depends on axioms: [propext, Classical.choice, Quot.sound]
'Perelman.MuMonotonicity.apply' depends on axioms: [propext, Classical.choice, Quot.sound]
'Perelman.FMonotonicity_iff_antitoneOn' depends on axioms: [propext, Classical.choice, Quot.sound]
'Perelman.WMonotonicity_iff_antitoneOn' depends on axioms: [propext, Classical.choice, Quot.sound]
'Perelman.riemannianVolumeDensity_nonneg' depends on axioms: [propext, Classical.choice, Quot.sound]
'Perelman.riemannianVolumeDensity_pos_of_posDef' depends on axioms: [propext, Classical.choice, Quot.sound]
'Perelman.CurvatureBoundedOn.mono' depends on axioms: [propext, Classical.choice, Quot.sound]
--- stderr ---
