OK   Poincare/D12/TensorMaximumBochner/TensorCalculus.lean :: LeviCivitaIdentities.curvatureForm_add_last_pair -> ['Classical.choice', 'Quot.sound', 'propext']
OK   Poincare/D12/TensorMaximumBochner/TensorCalculus.lean :: LeviCivitaIdentities.curvatureForm_last_pair_skew -> ['Classical.choice', 'Quot.sound', 'propext']
OK   Poincare/D12/TensorMaximumBochner/TensorCalculus.lean :: LeviCivitaIdentities.curvatureForm_pair_symm -> ['Classical.choice', 'Quot.sound', 'propext']
OK   Poincare/D12/TensorMaximumBochner/TensorCalculus.lean :: LeviCivitaIdentities.ricci_eq_sum_curvatureForm -> ['Classical.choice', 'Quot.sound', 'propext']
OK   Poincare/D12/TensorMaximumBochner/TensorCalculus.lean :: LeviCivitaIdentities.ricci_symm -> ['Classical.choice', 'Quot.sound', 'propext']
OK   Poincare/D12/TensorMaximumBochner/PositivityPreservation.lean :: exists_first_zero -> ['Classical.choice', 'Quot.sound', 'propext']
OK   Poincare/D12/TensorMaximumBochner/PositivityPreservation.lean :: nonneg_of_nonneg_init_of_deriv_nonneg_on_nonpos -> ['Classical.choice', 'Quot.sound', 'propext']
OK   Poincare/D12/TensorMaximumBochner/PositivityPreservation.lean :: staysPosSemidef_of_tangent -> ['Classical.choice', 'Quot.sound', 'propext']
OK   Poincare/D12/TensorMaximumBochner/PositivityPreservation.lean :: staysPosSemidef_of_field -> ['Classical.choice', 'Quot.sound', 'propext']
OK   Poincare/D12/TensorMaximumBochner/PositivityPreservation.lean :: tangentCondition_selfSq_sub_self -> ['Classical.choice', 'Quot.sound', 'propext']
OK   Poincare/D12/TensorMaximumBochner/PositivityPreservation.lean :: hasDerivAt_lambdaInv -> ['Classical.choice', 'Quot.sound', 'propext']
OK   Poincare/D12/TensorMaximumBochner/PositivityPreservation.lean :: lambdaInv_sq_sub -> ['Classical.choice', 'Quot.sound', 'propext']
OK   Poincare/D12/TensorMaximumBochner/PositivityPreservation.lean :: diagonal_hasDerivAt -> ['Classical.choice', 'Quot.sound', 'propext']
OK   Poincare/D12/TensorMaximumBochner/PositivityPreservation.lean :: quadSelfPath_posSemidef -> ['Classical.choice', 'Quot.sound', 'propext']
OK   Poincare/D12/TensorMaximumBochner/PositivityPreservation.lean :: quadSelfPath_hermitian -> ['Classical.choice', 'Quot.sound', 'propext']
