[2026-09-11T14:42:25+08:00] COLD START D12-volume-ibp files=80 cache=absent
[2026-09-11T14:43:45+08:00] COLD DONE D12-volume-ibp build=0 probe=0
[2026-09-11T14:43:45+08:00] COLD START D12-spectral-sobolev files=76 cache=absent
[2026-09-11T14:45:05+08:00] COLD DONE D12-spectral-sobolev build=0 probe=0
[2026-09-11T14:45:05+08:00] COLD START D12-semantic-ledger files=73 cache=absent
[2026-09-11T14:46:26+08:00] COLD DONE D12-semantic-ledger build=0 probe=0
[2026-09-11T14:46:26+08:00] COLD START D12-comparison-geodesics files=90 cache=absent
[2026-09-11T14:47:45+08:00] COLD DONE D12-comparison-geodesics build=0 probe=0
[2026-09-11T14:47:45+08:00] COLD START D12-geometric-compactness files=76 cache=absent
[2026-09-11T14:49:05+08:00] COLD DONE D12-geometric-compactness build=0 probe=0
[2026-09-11T14:49:05+08:00] COLD ROUND6 DONE
