'Poincare.D10.jacobiSolSphere' depends on axioms: [propext, Classical.choice, Quot.sound]
'Poincare.D10.jacobiSolFlat' depends on axioms: [propext, Classical.choice, Quot.sound]
'Poincare.D10.jacobiSolHyperbolic' depends on axioms: [propext, Classical.choice, Quot.sound]
'Poincare.D10.jacobiSol' depends on axioms: [propext, Classical.choice, Quot.sound]
'Poincare.D10.jacobiDeriv' depends on axioms: [propext, Classical.choice, Quot.sound]
'Poincare.D10.jacobiSol_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'Poincare.D10.jacobiDeriv_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'Poincare.D10.jacobiSolSphere_initial' depends on axioms: [propext, Classical.choice, Quot.sound]
'Poincare.D10.jacobiSolFlat_initial' depends on axioms: [propext, Classical.choice, Quot.sound]
'Poincare.D10.jacobiSolHyperbolic_initial' depends on axioms: [propext, Classical.choice, Quot.sound]
'Poincare.D10.jacobiSol_initial' depends on axioms: [propext, Classical.choice, Quot.sound]
'Poincare.D10.jacobiSol_deriv_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'Poincare.D10.jacobiSolSphere_deriv_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'Poincare.D10.jacobiSolFlat_deriv_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'Poincare.D10.jacobiSolHyperbolic_deriv_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'Poincare.D10.SolvesJacobiODE' depends on axioms: [propext, Classical.choice, Quot.sound]
'Poincare.D10.HasNormalizedInitial' depends on axioms: [propext, Classical.choice, Quot.sound]
'Poincare.D10.jacobiSolSphere_solvesJacobiODE' depends on axioms: [propext, Classical.choice, Quot.sound]
'Poincare.D10.jacobiSolFlat_solvesJacobiODE' depends on axioms: [propext, Classical.choice, Quot.sound]
'Poincare.D10.jacobiSolHyperbolic_solvesJacobiODE' depends on axioms: [propext, Classical.choice, Quot.sound]
'Poincare.D10.jacobiSolSphere_hasNormalizedInitial' depends on axioms: [propext, Classical.choice, Quot.sound]
'Poincare.D10.jacobiSolFlat_hasNormalizedInitial' depends on axioms: [propext, Classical.choice, Quot.sound]
'Poincare.D10.jacobiSolHyperbolic_hasNormalizedInitial' depends on axioms: [propext, Classical.choice, Quot.sound]
'Poincare.D10.jacobiSolSphere_deriv' depends on axioms: [propext, Classical.choice, Quot.sound]
'Poincare.D10.jacobiSolSphere_ode' depends on axioms: [propext, Classical.choice, Quot.sound]
'Poincare.D10.jacobiSolFlat_deriv' depends on axioms: [propext, Classical.choice, Quot.sound]
'Poincare.D10.jacobiSolFlat_ode' depends on axioms: [propext, Classical.choice, Quot.sound]
'Poincare.D10.jacobiSolHyperbolic_deriv' depends on axioms: [propext, Classical.choice, Quot.sound]
'Poincare.D10.jacobiSolHyperbolic_ode' depends on axioms: [propext, Classical.choice, Quot.sound]
'Poincare.D10.jacobiSol_deriv' depends on axioms: [propext, Classical.choice, Quot.sound]
'Poincare.D10.jacobiSol_ode' depends on axioms: [propext, Classical.choice, Quot.sound]
'Poincare.D10.jacobiSol_solves_ivp' depends on axioms: [propext, Classical.choice, Quot.sound]
'Poincare.D10.jacobiSol_solvesJacobiODE' depends on axioms: [propext, Classical.choice, Quot.sound]
'Poincare.D10.jacobiSol_hasNormalizedInitial' depends on axioms: [propext, Classical.choice, Quot.sound]
'Poincare.D10.jacobiDeriv_le_of_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'Poincare.D10.jacobiSol_nonneg' depends on axioms: [propext, Classical.choice, Quot.sound]
'Poincare.D10.jacobiSol_firstZero' depends on axioms: [propext, Classical.choice, Quot.sound]
'Poincare.D10.rauch_comparison' depends on axioms: [propext, Classical.choice, Quot.sound]
'Poincare.D10.rauch_comparison_sphere' depends on axioms: [propext, Classical.choice, Quot.sound]
'Poincare.D10.rauch_comparison_of_nonpos' depends on axioms: [propext, Classical.choice, Quot.sound]
