'Poincare.D11.firstZero_le_firstZero' depends on axioms: [propext, Classical.choice, Quot.sound]
'Poincare.D11.jacobiSol_pos' depends on axioms: [propext, Classical.choice, Quot.sound]
'Poincare.D11.jacobiSol_pos_of_nonpos' depends on axioms: [propext, Classical.choice, Quot.sound]
'Poincare.D11.jacobiSol_pos_of_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'Poincare.D11.jacobiSol_nonneg_of_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'Poincare.D11.continuous_jacobiDeriv' depends on axioms: [propext, Classical.choice, Quot.sound]
'Poincare.D11.differentiable_jacobiDeriv' depends on axioms: [propext, Classical.choice, Quot.sound]
'Poincare.D11.continuous_jacobiSol_pow' depends on axioms: [propext, Classical.choice, Quot.sound]
'Poincare.D11.differentiable_jacobiSol_pow' depends on axioms: [propext, Classical.choice, Quot.sound]
'Poincare.D11.polarMetric' depends on axioms: [propext, Classical.choice, Quot.sound]
'Poincare.D11.polarMetric_symm' depends on axioms: [propext, Classical.choice, Quot.sound]
'Poincare.D11.polarMetric_add_left' depends on axioms: [propext, Classical.choice, Quot.sound]
'Poincare.D11.polarMetric_add_right' depends on axioms: [propext, Classical.choice, Quot.sound]
'Poincare.D11.polarMetric_smul_left' depends on axioms: [propext, Classical.choice, Quot.sound]
'Poincare.D11.polarMetric_smul_right' depends on axioms: [propext, Classical.choice, Quot.sound]
'Poincare.D11.polarMetric_nonneg' depends on axioms: [propext, Classical.choice, Quot.sound]
'Poincare.D11.polarMetric_pos_of_pos' depends on axioms: [propext, Classical.choice, Quot.sound]
'Poincare.D11.WarpedProductModel' depends on axioms: [propext, Classical.choice, Quot.sound]
'Poincare.D11.WarpedProductModel.jacobi_ode' depends on axioms: [propext, Classical.choice, Quot.sound]
'Poincare.D11.WarpedProductModel.normalized_initial' depends on axioms: [propext, Classical.choice, Quot.sound]
'Poincare.D11.warpedProductModel_jacobiSolSphere' depends on axioms: [propext, Classical.choice, Quot.sound]
'Poincare.D11.warpedProductModel_jacobiSolFlat' depends on axioms: [propext, Classical.choice, Quot.sound]
'Poincare.D11.warpedProductModel_jacobiSolHyperbolic' depends on axioms: [propext, Classical.choice, Quot.sound]
'Poincare.D11.warpedProductModel_jacobiSol' depends on axioms: [propext, Classical.choice, Quot.sound]
'Poincare.D11.modelSphereMetric' depends on axioms: [propext, Classical.choice, Quot.sound]
'Poincare.D11.modelFlatMetric' depends on axioms: [propext, Classical.choice, Quot.sound]
'Poincare.D11.modelHyperbolicMetric' depends on axioms: [propext, Classical.choice, Quot.sound]
'Poincare.D11.modelSphereMetric_symm' depends on axioms: [propext, Classical.choice, Quot.sound]
'Poincare.D11.modelFlatMetric_symm' depends on axioms: [propext, Classical.choice, Quot.sound]
'Poincare.D11.modelHyperbolicMetric_symm' depends on axioms: [propext, Classical.choice, Quot.sound]
'Poincare.D11.modelSphereMetric_posDef' depends on axioms: [propext, Classical.choice, Quot.sound]
'Poincare.D11.modelFlatMetric_posDef' depends on axioms: [propext, Classical.choice, Quot.sound]
'Poincare.D11.modelHyperbolicMetric_posDef' depends on axioms: [propext, Classical.choice, Quot.sound]
'Poincare.D11.polarMetric_jacobiSol_posDef' depends on axioms: [propext, Classical.choice, Quot.sound]
'Poincare.D11.ballVolume' depends on axioms: [propext, Classical.choice, Quot.sound]
'Poincare.D11.wronskian' depends on axioms: [propext, Classical.choice, Quot.sound]
'Poincare.D11.continuous_wronskian' depends on axioms: [propext, Classical.choice, Quot.sound]
'Poincare.D11.differentiable_wronskian' depends on axioms: [propext, Classical.choice, Quot.sound]
'Poincare.D11.wronskian_deriv' depends on axioms: [propext, Classical.choice, Quot.sound]
'Poincare.D11.wronskian_le_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'Poincare.D11.jacobiSol_div_antitoneOn' depends on axioms: [propext, Classical.choice, Quot.sound]
'Poincare.D11.jacobiSol_mul_le_mul_of_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'Poincare.D11.ballVolume_ge_jacobiSol_pow' depends on axioms: [propext, Classical.choice, Quot.sound]
'Poincare.D11.ballVolume_pos' depends on axioms: [propext, Classical.choice, Quot.sound]
'Poincare.D11.continuousOn_ballVolume' depends on axioms: [propext, Classical.choice, Quot.sound]
