'Poincare.D11.SpectralTorus.torusFourier_abs_eq_one' depends on axioms: [propext, Classical.choice, Quot.sound]
'Poincare.D11.SpectralTorus.fourierMode_periodic' depends on axioms: [propext, Classical.choice, Quot.sound]
'Poincare.D11.SpectralTorus.torusEquivUnitAddTorus' depends on axioms: [propext, Classical.choice, Quot.sound]
'Poincare.D11.SpectralTorus.differentiableAt_fourierMode' depends on axioms: [propext, Classical.choice, Quot.sound]
'Poincare.D11.SpectralTorus.laplacian_fourierMode' depends on axioms: [propext, Classical.choice, Quot.sound]
'Poincare.D11.SpectralTorus.torusLaplacian_mFourier' depends on axioms: [propext, Classical.choice, Quot.sound]
'Poincare.D11.SpectralTorus.mFourier_isEigenfunction' depends on axioms: [propext, Classical.choice, Quot.sound]
'Poincare.D11.SpectralTorus.trigPoly_parseval' depends on axioms: [propext, Classical.choice, Quot.sound]
'Poincare.D11.SpectralTorus.trigPoly_integral' depends on axioms: [propext, Classical.choice, Quot.sound]
'Poincare.D11.SpectralTorus.trigPoly_mean_zero_iff' depends on axioms: [propext, Classical.choice, Quot.sound]
'Poincare.D11.SpectralTorus.summable_sobolevWeight_inv' depends on axioms: [propext, Classical.choice, Quot.sound]
'Poincare.D11.SpectralTorus.sobolev_embedding_trigPoly' depends on axioms: [propext, Classical.choice, Quot.sound]
'Poincare.D11.SpectralTorus.one_le_normSq_of_ne_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'Poincare.D11.SpectralTorus.poincare_trigPoly' depends on axioms: [propext, Classical.choice, Quot.sound]
'Poincare.D11.SpectralTorus.torusDeriv_mFourier' depends on axioms: [propext, Classical.choice, Quot.sound]
