'Poincare.D13.BochnerFlat.partialDeriv_contDiff_two' depends on axioms: [propext, Classical.choice, Quot.sound]
'Poincare.D13.BochnerFlat.partialDeriv_finset_sum' depends on axioms: [propext, Classical.choice, Quot.sound]
'Poincare.D13.BochnerFlat.partialDeriv_const_mul' depends on axioms: [propext, Classical.choice, Quot.sound]
'Poincare.D13.BochnerFlat.partialDeriv_partialDeriv_comm' depends on axioms: [propext, Classical.choice, Quot.sound]
'Poincare.D13.BochnerFlat.partialDeriv_gradInnerSq' depends on axioms: [propext, Classical.choice, Quot.sound]
'Poincare.D13.BochnerFlat.partialDeriv_gradInnerSq_second' depends on axioms: [propext, Classical.choice, Quot.sound]
'Poincare.D13.BochnerFlat.sum_partialDeriv_partialDeriv_eq' depends on axioms: [propext, Classical.choice, Quot.sound]
'Poincare.D13.BochnerFlat.bochnerIdentity_euclidean' depends on axioms: [propext, Classical.choice, Quot.sound]
'Poincare.D13.CertificateOn.BochnerIdentityOn' depends on axioms: [propext, Classical.choice, Quot.sound]
'Poincare.D13.BochnerFlat.bochnerStatement_iff_forall' depends on axioms: [propext, Classical.choice, Quot.sound]
'Poincare.D13.BochnerFlat.gradInner_euclideanChartCalculus' depends on axioms: [propext, Classical.choice, Quot.sound]
'Poincare.D13.BochnerFlat.hessSq_euclideanChartCalculus' depends on axioms: [propext, Classical.choice, Quot.sound]
'Poincare.D13.BochnerFlat.bochnerIdentityOn_euclidean' depends on axioms: [propext, Classical.choice, Quot.sound]
