'Poincare.D7.Geodesic.FlatMetric' depends on axioms: [propext, Classical.choice, Quot.sound]
'Poincare.D7.Geodesic.IsMetricCompatible' depends on axioms: [propext, Classical.choice, Quot.sound]
'Poincare.D7.Geodesic.IsGeodesic' depends on axioms: [propext, Classical.choice, Quot.sound]
'Poincare.D7.Geodesic.IsAffineGeodesic' depends on axioms: [propext, Classical.choice, Quot.sound]
'Poincare.D7.Geodesic.isGeodesic_zero_iff' depends on axioms: [propext, Classical.choice, Quot.sound]
'Poincare.D7.Geodesic.isMetricCompatible_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'Poincare.D7.Geodesic.GeodesicData' depends on axioms: [propext, Classical.choice, Quot.sound]
'Poincare.D7.Geodesic.GeodesicData.hasDerivAt_curve' depends on axioms: [propext, Classical.choice, Quot.sound]
'Poincare.D7.Geodesic.GeodesicData.hasDerivAt_deriv_curve' depends on axioms: [propext, Classical.choice, Quot.sound]
'Poincare.D7.Geodesic.deriv_affine' depends on axioms: [propext, Classical.choice, Quot.sound]
'Poincare.D7.Geodesic.isAffineGeodesic_affine' depends on axioms: [propext, Classical.choice, Quot.sound]
'Poincare.D7.Geodesic.deriv_eq_const_of_isAffineGeodesic' depends on axioms: [propext, Classical.choice, Quot.sound]
'Poincare.D7.Geodesic.eq_affine_of_isAffineGeodesic' depends on axioms: [propext, Classical.choice, Quot.sound]
'Poincare.D7.Geodesic.eq_of_isAffineGeodesic_init' depends on axioms: [propext, Classical.choice, Quot.sound]
'Poincare.D7.Geodesic.flatGeodesicData' depends on axioms: [propext, Classical.choice, Quot.sound]
'Poincare.D7.Geodesic.flatGeodesicData_curve' depends on axioms: [propext, Classical.choice, Quot.sound]
'Poincare.D7.Geodesic.flatGeodesicData_Gamma' depends on axioms: [propext, Classical.choice, Quot.sound]
'Poincare.D7.Geodesic.flatGeodesicData_p' depends on axioms: [propext, Classical.choice, Quot.sound]
'Poincare.D7.Geodesic.flatGeodesicData_v' depends on axioms: [propext, Classical.choice, Quot.sound]
'Poincare.D7.Geodesic.flatGeodesicData_unique' depends on axioms: [propext, Classical.choice, Quot.sound]
'Poincare.D7.Geodesic.GeodesicData.speed_hasDerivAt_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'Poincare.D7.Geodesic.GeodesicData.speed_const' depends on axioms: [propext, Classical.choice, Quot.sound]
'Poincare.D7.Geodesic.innerFlatMetric' depends on axioms: [propext, Classical.choice, Quot.sound]
'Poincare.D7.Geodesic.innerFlatMetric_metric' depends on axioms: [propext, Classical.choice, Quot.sound]
'Poincare.D7.Geodesic.flatGeodesicData_speed_const' depends on axioms: [propext, Classical.choice, Quot.sound]
'Poincare.D7.Geodesic.hasDerivAt_affine' depends on axioms: [propext, Classical.choice, Quot.sound]
'Poincare.D7.Geodesic.isGeodesic_comp_affine' depends on axioms: [propext, Classical.choice, Quot.sound]
'Poincare.D7.Geodesic.GeodesicData.reparam' depends on axioms: [propext, Classical.choice, Quot.sound]
'Poincare.D7.Geodesic.GeodesicData.reparam_curve' depends on axioms: [propext, Classical.choice, Quot.sound]
'Poincare.D7.Geodesic.GeodesicData.reparam_Gamma' depends on axioms: [propext, Classical.choice, Quot.sound]
'Poincare.D7.Geodesic.GeodesicData.reparam_p' depends on axioms: [propext, Classical.choice, Quot.sound]
'Poincare.D7.Geodesic.GeodesicData.reparam_v' depends on axioms: [propext, Classical.choice, Quot.sound]
'Poincare.D7.Geodesic.GeodesicData.reparam_isGeodesic' depends on axioms: [propext, Classical.choice, Quot.sound]
'Poincare.D7.Geodesic.GeodesicContext' depends on axioms: [propext, Classical.choice, Quot.sound]
'Poincare.D7.Geodesic.IsManifoldGeodesic' depends on axioms: [propext, Classical.choice, Quot.sound]
'Poincare.D7.Geodesic.GeodesicExistenceOnCompleteManifolds' depends on axioms: [propext, Classical.choice, Quot.sound]
'Poincare.D7.Geodesic.HopfRinow' depends on axioms: [propext, Classical.choice, Quot.sound]
'Poincare.D7.Geodesic.ExpMapLocalDiffeomorphism' depends on axioms: [propext, Classical.choice, Quot.sound]
