$ lake env lean ../tmp/gs_independent_probe.lean
# cwd: /data3/guoshaoyang/workdir/lean_poincare/longrun/worktrees/L4-child-sturm-zero-interlacing/release

'Poincare.L4.GeodesicComparison.gs1_interlacing_instance' depends on axioms: [propext, Classical.choice, Quot.sound]
'Poincare.L4.GeodesicComparison.gs1b_engine_route' depends on axioms: [propext, Classical.choice, Quot.sound]
'Poincare.L4.GeodesicComparison.gs2_first_zero_bound' depends on axioms: [propext, Classical.choice, Quot.sound]
'Poincare.L4.GeodesicComparison.gs2b_closed_form' depends on axioms: [propext, Classical.choice, Quot.sound]
'Poincare.L4.GeodesicComparison.gs2c_horizon_instance' depends on axioms: [propext, Classical.choice, Quot.sound]
'Poincare.L4.GeodesicComparison.gs2d_attainment' depends on axioms: [propext, Classical.choice, Quot.sound]
'Poincare.L4.GeodesicComparison.gs3_equality_case' depends on axioms: [propext, Classical.choice, Quot.sound]
'Poincare.L4.GeodesicComparison.gs4_mul_cos_le_sin' depends on axioms: [propext, Classical.choice, Quot.sound]
'Poincare.L4.GeodesicComparison.gs4b_wronskian_deriv_value' depends on axioms: [propext, Classical.choice, Quot.sound]
'Poincare.L4.GeodesicComparison.gs5_literal_branch_false' depends on axioms: [propext, Classical.choice, Quot.sound]
'Poincare.L4.GeodesicComparison.gs5b_sin_first_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'Poincare.L4.GeodesicComparison.gs6_pos' depends on axioms: [propext, Classical.choice, Quot.sound]
'Poincare.L4.GeodesicComparison.gs6_engine_route' depends on axioms: [propext, Classical.choice, Quot.sound]
'Poincare.L4.GeodesicComparison.gs6b_engine_route_full' depends on axioms: [propext, Classical.choice, Quot.sound]
'Poincare.L4.GeodesicComparison.gs6c_leader_route' depends on axioms: [propext, Classical.choice, Quot.sound]
